Bitvectors: 1000
Bitvector: 000111001000011011000110000010010011011000111110110110011000011000010111111011101100100010001011001110111001001
Bitvector: 1110000001001011110110000011110111000011100101110
Bitvector: 00101010101101010110111000111011000110000010011110101010000000010110110010010111000001110010000100000000111100110001100100110011101001100
Bitvector: 010001001111000101000000101110100110100000111000
Bitvector: 0000100011100010111
Bitvector: 11101011001001111111100110101010010000111110100000010100010100010011110011000011011111000110011011000010000110001010
Bitvector: 010011110001010101011101011000101110001010011010000011110010110101010110100110001010
Bitvector: 1001111001011000100100110
Bitvector: 0100010110110001001010100101011001101111100100100110100010101000000010100010111101101110110000100101010101010110010000001010011110
Bitvector: 01011111100011000111100011001100010001111110111001011110
Bitvector: 1111101100000011100000100011100101001010011011010101001001010100010100
Bitvector: 11100000001111100010001000001100101100000111010010111101000111110010011011011110001010001
Bitvector: 10100001111011000101100010110011101101001111111100
Bitvector: 0001010111101011111110001001100000001000100101101100010011011000001111100010000110010110010110100011110101000011001
Bitvector: 1111101101010111101000011011000011
Bitvector: 0000101110010010011010001110
Bitvector: 10101011000101001011000110010000
Bitvector: 000100100001011100011001100100110010001100001011000000010111101110100
Bitvector: 100111111010100100110110010001010111101111101
Bitvector: 00111011100110001101101100011001001001111110110111110000111100000000110000011111001000000011011100001101010110110010011110001011000111110101000111
Bitvector: 001100110001110011101011100101001001000001001100100010010000110110010000001000100101100000
Bitvector: 0110000001000100011111000111101100000001000000101101
Bitvector: 0010110001001111100101111111100111110000
Bitvector: 101010010001001100110100001100111111010101110010000110101111010111011
Bitvector: 01111010000011000101101110000111000111
Bitvector: 010001100110111110011000111101000111000001011101010101111
Bitvector: 001010101010111110001010010011010110010010001001001110100010100001001101111110010001100
Bitvector: 10101010001
Bitvector: 10101110001101011101011001001101100000110110111001010000000001011110010011010000001000
Bitvector: 01101111001110001010001011011110011110011011101011000100101011100011111100010000111100011110110000100010110111011110100110010111101
Bitvector: 101011010001011000110100011111111001110111011100000000110100000101011101100110001011010101011100111110000000111011001
Bitvector: 1001001111000100111001110011011100001010010101011001011011101110100011010000010001110111000001
Bitvector: 001011011110110110101101100110110001101000101100
Bitvector: 001011101101110100101111010111011010001100001010010101001110100001011000110100000001100000111000101110011001001011100001100100101
Bitvector: 01001111010000011111100011001111010001111100111000011100010
Bitvector: 111001010000010001101
Bitvector: 1011100111111110011111011001110111000111001011101010011100101000011100111101001011001001101000011110011000100110000011110000110000
Bitvector: 00100000001010010001100111001011010001011101110001100101011111100100001110110101001011101100000101101010111001011010001110000101011110110111010000
Bitvector: 01000100101100101001000100100111111010110010011010011100010010101011011101101100111010
Bitvector: 010100000101010
Bitvector: 110100010001110011100011110001010001110001000011001110010001011001000101101001
Bitvector: 0011011000001011101110010110100010000011001110
Bitvector: 111110000000100100001111011111101110110000100110101000100110000100011
Bitvector: 001101011101010100011011001111001110111010100111110010000001011111101100101
Bitvector: 101101100011000011011011011110110010011
Bitvector: 000011011010001001011010101011100111000011111000001101010110001001111111100011000010100111001111101100001000
Bitvector: 011111100011111101111001010110100011001011000100001011010001101111010100110101100010001011100110011000111110111110101100111011
Bitvector: 0000001010110110001100100
Bitvector: 01010001111111000110111110100000000010101
Bitvector: 00010000101011101011011011011011000111111101
Bitvector: 00000011010011100101011110001110001110100011000100100111000111001101101111100100111111100100100010101010000110110100100001101101100000000001101000
Bitvector: 0100101111111000100101101000101011010101001001110010100010110111110110011100010100110101001000101001011000111001110011
Bitvector: 000111101001010000000100011110100001001110011101000001111010001111011101010111101100101101110001101
Bitvector: 0100111110111101100101010111110111011101111111010110101100110100010000101111011011111000111001011101101101100011010
Bitvector: 1100011101001101001100111110010000100111111000010100101111000011100010011101001001111010110000100011010100000010
Bitvector: 000000000010010011000110001011110010101101101101111101111100011101000000011011110
Bitvector: 010000011110100001110100111110000111101000010011100101010110100000001100010001010101011101001011011010101111
Bitvector: 01110011110100000110000101101000101011000110000100
Bitvector: 1111000111010000010011010011111001101111110111011
Bitvector: 0001000001001
Bitvector: 0110110100011011111110111001011111010100100010111010010010010111100010011101000011111111000001111010011
Bitvector: 1100000010111101010101110000011010011000100100010110
Bitvector: 0110000110101011110
Bitvector: 001110011101110101010011000111000101110111110110101110111101001111101000000000101111011110001111001010000001111010100111111100101110110110
Bitvector: 0110011010011001011010011001000010111110110111111010100001
Bitvector: 10000100000100101000000001000000110001101000111101111000110101101011101100
Bitvector: 001101010111
Bitvector: 11000000011110100110010110011110001101001100100011010001101000000110111101111011111110011010
Bitvector: 111000011111000010101001110101000010101011001001111010001100010010000010001000100010010101000111100110011100100001101110110001100000011
Bitvector: 1010001110011100001001011000010001100100000111011001101110011100110000010000110110001010111100000101
Bitvector: 00000000111001001000110011111000110101101111001010001110101101010011011010110111
Bitvector: 101100110101100101001110
Bitvector: 01101000001111101110000011010110110000110011011010011011011010101010011111
Bitvector: 0100000110000101011000111011110001101001110011100100111101100001000011001110010011010101010101001010101001110001011000010111001
Bitvector: 011000100100010100100010111000101110011010100101001100111011011101101100100001000110001011011110
Bitvector: 1100001001100010110010010001100110111011111010001001001100000010
Bitvector: 111111110011101100111111101010001110010101000100011011000000100000110111000111110001010100101100010111011001101110010011011100001111100101101111101
Bitvector: 1001101001000010011010100010101001110010001011100011000101101010110101100110011111
Bitvector: 000111011110111011110110001010010111111100001001110111001010001111110010111000000010111001011001101001100001111011111001011000010010111100101011
Bitvector: 0000001101000110001011101100111111011001001000100100101000100111100100011001
Bitvector: 01110011111101100100100000000
Bitvector: 0111110110110101000001000111110010110001110111110011110110101110111110101001111010000011010001101111111111110010
Bitvector: 101110010101101101011101101100110000110111000010000100111010
Bitvector: 011000011011010101001100101101100101110000010000100101000010
Bitvector: 011010010100100000010101110100111101011010111
Bitvector: 10001110000101010110101111000110010110100001000101101111001
Bitvector: 0111001111110000111111101101000011001111111101000000111110010000000010011101110100110011101010110111110111101100111101101110000111111000111110110000
Bitvector: 11100000001100101100011010101000100100011111001100001000010100110011100
Bitvector: 001111011110101010001111011111110111111000110110100011000100011101111011110000111111111000000001
Bitvector: 00010001100001111000100110000001001101100000111001011010011000000110100100000100100001110
Bitvector: 110110100011000101100000010100111010011100110110100000001001110001111
Bitvector: 0100100101110011011100010011011000000010101101111000000001101110000010011111010011110100101000100100110111011110011100100001011010101101111
Bitvector: 0111101111010110011110010100011101111000001000000011000000100100100111001001000101100011100110001111101011100101000010000001
Bitvector: 1110001110001100110000000110000010010010100101111101110001000111011100010111110000000000111011100010110110111001110
Bitvector: 11111000111111111001000010101101011
Bitvector: 0101101000010111010001000110001000010011110001010100011101000011011011
Bitvector: 0111110111001001110111100101001111001011010111011110010101000
Bitvector: 0111000111011001000001010111111100000100111011101111111010101000111100110011001011001011000010101011111001101000101
Bitvector: 00111110011110011111111111100110110000101010101000000000100110101001000010100011001001011100001101110010110011101100100010111001110001101
Bitvector: 0010011000110111001100111010011011000011111001101100011111010111100111000111111001011111101101111010
Bitvector: 00110010101000011000000001011001100000110011100011010001000101000000000110111101100000011101000100001110011111000011100000000111101000010110010101
Bitvector: 01011101001101101011011100011110000000111
Bitvector: 1110111001111011010011100000010010001000001110010101010001100011101000101011100010010100010100111010
Bitvector: 0001111000000011110100001010000101000011000010000100110
Bitvector: 00111100011110110100000100010010001110100101110101110101111101010001010001101
Bitvector: 11100110101011000100111101001010000010011101010011110111011100001110001110011010001010100
Bitvector: 10001000000000111100000100100111101110000001001100111000100110001111101010011101011100001001111100001110010011000011111111111110101010010100101
Bitvector: 0100101010
Bitvector: 00001100110110010000110001100010010010101111101000110100011000111101001011010001000000001000010011001001100010100011001001010111111101100
Bitvector: 0101100111111110100001111010101101001010011000010001101001101101010110001110100011010001001001001011111111001000
Bitvector: 10010011001110110111110001110001011011011011010001011
Bitvector: 1100010011110111111001010100111111000110001000
Bitvector: 11110111000110111000000000011101101101000010111100111000100001000100110100110001100001001010111110
Bitvector: 100111001010000000011001000010101010110001110011100011000101101101011101110100100000001011001100110110001100000
Bitvector: 0000010010110001111110000101011110110110000110000100100010101001110111100000000010000101111010000100000101101000000100011110010001000000011
Bitvector: 00000001011000001101110
Bitvector: 111000000010101111010101111011000011111001101001101101011010010000011110101111000111001100001000101011110100100011000
Bitvector: 110010010010101110000011010001101000000010000111011110000111111111000000000110111011111111000011100010100010110010010101000100010111011000100000
Bitvector: 0110011010101001000111111101000000010111100100101010110
Bitvector: 0011000000110010010110000011100011001100100110010110101101100010001101101000000101001000
Bitvector: 1110111010000100110011111001001010001111110101101111101010101111101101
Bitvector: 01110111110010110011100011000000001101101001
Bitvector: 0111100110011
Bitvector: 110111101010111111101101011
Bitvector: 1000101110110111100111100011000011111100000101111111101011010010011010000000000011101101011111001000111110001000101110100000000111000111000
Bitvector: 00111101001101000001110101010100010100001101010101001101001010100100011110001100111011111011100000111010100000011101010100110100010001000101
Bitvector: 010110110000110011010001011010101100101001100111011001100101000111000001010000011101
Bitvector: 11111010010000100110011110011100011110011010110110100010100001001001010011100010110010
Bitvector: 111111110110111110011101
Bitvector: 001101110000101100001100001111111000001011010001101101011111011000010000101011101100111101111110111011111001101000101111100111000
Bitvector: 1001100000010000101100000100011110100001
Bitvector: 01001111001011101110010000000100100011101011001000011010010111
Bitvector: 011010001011101111111010110000
Bitvector: 10011001110
Bitvector: 0111110001101000001011000100000100100110011010001110100011110110010100010011010110000001000110011000011010
Bitvector: 10000010110111100000110101100010110001101110100000101100100011011011010101
Bitvector: 111101010000111001011111110101111001000010101000011100100100010000110111000110001110011001110000101010010110001101011
Bitvector: 01010011100111000100000010000001101100111011100111110110101101000011100010001100011111110101
Bitvector: 010001000010111011001000100110111110011000101111110000
Bitvector: 110011011000111101101101100000111101001000001111110100111010011011001000011101001101001001101
Bitvector: 10010110000001010110011101001001100001011010100110100011111111110111101110011110110000110001111111011001000000010
Bitvector: 10000010110100000101101001001110101010000111001010010001101001101111110011000010
Bitvector: 100100001111100100100101010000011000001100110010101101101011101110111101100100110000000101000101100101110100000001010001011100101111000010111
Bitvector: 101101110011011000010011111
Bitvector: 0011010010100010100010101111010011011101000010010010110111011100010000010100001010010001110110111011100000110
Bitvector: 000110011000101111100010010100
Bitvector: 111101000111011010000011100010010110000111010101111100010010011101110110101111001100010101110010001110100000010
Bitvector: 1001011000100011100010101100000111001111101110011001010110100110111
Bitvector: 100011000010011111100101011111111100011111101010110100011000011000111111100010111100011010000011000001000010000001100010000
Bitvector: 10010010011111010010101111111100011101111000000
Bitvector: 0110000110100010000000101001000111110101100000110
Bitvector: 101101101100100011110101010000001111011100001100101
Bitvector: 1111101010001111011010111000111111
Bitvector: 1101101010100010110101010101111111110111010100101100000011010100110010100011010001110001001101000111000110000
Bitvector: 11001110001000111010101111011001010001110111000010111101010010000110010100001000111100010100110001110001101100
Bitvector: 11001110101100010000111101101000011000101100001001010110010000100110010101111101011110100000101010100
Bitvector: 00100101000001000000000011100000100001110011001101000000110001100001001100000101001110011100100
Bitvector: 1010001001100000001110001010110001011000100111011100100010010000110000111111
Bitvector: 01000100001111100011110010110100000111111111111100010011100111001
Bitvector: 11011110111000001010111111010110111100011110110010001
Bitvector: 01011101011101111010000101000110101110011011100100011
Bitvector: 00111011101010101101101001111111110
Bitvector: 0011100100000100000110000001001101100010110011001101010111111111
Bitvector: 1101001111110000110110000011
Bitvector: 1010011101010001100100010111010010100101111011110010101010101000010001000010100001111110110100000010110000000111101001010001100111000110011110
Bitvector: 01111100110100100010100110101100111
Bitvector: 0011000110101010010
Bitvector: 01010011100111100110100011101000111111111100010100001
Bitvector: 110010001101000010000010100101011000100011000101000111000101000001001101111011101111011001100
Bitvector: 10110000010011110110010100011000110011111001001001101101100100010000100001010011011010011110110100000111110000011111001100110101100000100010
Bitvector: 010011100111100000011110011011110111011
Bitvector: 110011110110000010011011110110011011111001110101011010000110011111000100001001011000110001100111010010011100101100111110111100100100101111010000111
Bitvector: 00111001110001100100001000000111011001101000100011001000011011111011001101011001100100001110101011010000100010111000001111011101100
Bitvector: 1001110001011100011111011011011010110001100000000001011100110101
Bitvector: 10100011101001001110111110110110100111111010000100110111010101111100011111101101
Bitvector: 100101001110111010001110101010111111110001111010000100100101111100100111100010100000001111011000000011010011010011001011111111110110101
Bitvector: 0100001101101111100010001011111
Bitvector: 01010000000100000100
Bitvector: 0100000011100101111011010111011110011111011001011000001100100111101110000
Bitvector: 00110100111010110001100100010010100110111110001001010000110111110
Bitvector: 0000110110001000100010000110101001000011000100110100111010011101100000011000110110110100000111101001000010110011010111100111001111010
Bitvector: 001011001111001101101010001001101000111100001101100111001001101010111100001110110000101011011011
Bitvector: 011100111001110100111100010001001100010100110110110111010100010011011010101010101000101011001010000101000001
Bitvector: 001000001101000111001100101110111111000101110010000010111000010100010000100010110011100101000101101
Bitvector: 01001110100011100010101010111111110000000110111010110100001010111010011110111000110101110010101010011100
Bitvector: 0110111100111011011100100010101010100001110101001000001110110110011101100101110001110100001011101010001011010010101101111011001001100
Bitvector: 10011100110101100010110011110101001100010110110001110100111011111000111100100101000111001010111101111010
Bitvector: 101111010111011111001000000011101110110000000011000001100100000111111111010111000010001001011101100111111000111110101100111000100011
Bitvector: 10100100001000011110010111101010000011011101011110110100001000011001010110101110111111110000000110011111111011010011111100001011000010100011011
Bitvector: 101010110001001011011111010001101010110
Bitvector: 1010010111111001000010110111100011000111001001000000010111
Bitvector: 0011111011110001010101000000010010111000101011101011011100100110110
Bitvector: 0000111000010101101110100000001010101100100110100100100011010110011
Bitvector: 0101110110101010010110110010100100100101100010101101110010101101001
Bitvector: 10001001001000100111011100010101001100011001010011000000101111011101101011
Bitvector: 10001100010110111001000111111111001001111001001110101001101101101101000011011000101101111000111001010
Bitvector: 10101010001011011111000111111111000110001010111100010001111010100001010001011011101101000101110000101110011000111101111001100000001
Bitvector: 11000011101100110111010001110100001101010101011110101011000101001000011111
Bitvector: 0000100110001101000100000110010111011001110001000001100
Bitvector: 11010100101100010011011101111110110011001100001111000011100111000010100011010000111011001011011110000000100011111111101011
Bitvector: 0011110110100110101
Bitvector: 001011100010000000011110110001101011001110110001000111000111101001001110010110100001000100001100110100101000010100101011000110100000010000
Bitvector: 001110000101101101100100011001111000111101011111000110011000101100110101000
Bitvector: 000001111001010101011101111000111111000001101000000011100101101111100001101100011000111010101101010110111011000011010
Bitvector: 00110110100000101100101111001010100110100000001101101011011
Bitvector: 11100100100010101111000001001001100011000001010000000001110100001100001001111001101000000101101
Bitvector: 011010101101010101100001111000010111110111110100
Bitvector: 0100101010010100110100011
Bitvector: 1001011010010110001
Bitvector: 00100000101010011010111111010000111000001111110100110000001011010001001101011000111111010110001101101110000101101
Bitvector: 101101001000000010111011100100011011110
Bitvector: 0101000101100110101011100000011000000110110011011001110011
Bitvector: 000101000111000011011110011101000100110001110101111110110011010101001010001010001000111100110111011110111110100110001110100
Bitvector: 00111110110010
Bitvector: 10110000011110101010
Bitvector: 1001101001111001010011000100101011101111000000101100000001011100010111100100000101000
Bitvector: 0000001001100110011000001001100010000000001
Bitvector: 01000111001010111000010011010011011010111010111110001
Bitvector: 0001111010000100001111110111000110111010101101001001110100011101101010011100001110010001000101111100000
Bitvector: 000000011110101110111011011100100101010
Bitvector: 0100010110001001100110010011111000100000011110111101001
Bitvector: 0010010000001011110111111011101011011101011110011000
Bitvector: 001010001100100111011001101110110100011011100100111000101
Bitvector: 01100101011000100111101011010010110011101000001101000000011000000001110010100
Bitvector: 000011001011110010011111111010000010001010001101001001110110000010010000011001100100000111101101100101010101100010011111000001
Bitvector: 011010010110010110100100101010000100011011100111100001110100100110111010110101010000110111000011110100
Bitvector: 1111111001111001111001011111010010111100111010
Bitvector: 11111011101111010101010110110010110010101110111010110000110010000101000010001111100110110110100110101000011011101101001001011100110110110110101100
Bitvector: 010111110110011101111010110001010010
Bitvector: 100010001001000000100010100011011110011111110010010000
Bitvector: 01111100000011011000101010011110101000011000001010011111110
Bitvector: 1110111010
Bitvector: 000011011010000101010011001100110110000110000110011010110110100110110110110111101010010001000000100010101011111111011111010
Bitvector: 010001000100101100100011101111000100000111000001011100001111011011111111010001100101001001101110111111101
Bitvector: 01101100001101111011001100100111010010011101000000100000011110110000100101001101101100010011110101100001001010100001100001111101001110000101
Bitvector: 01000100100101010011111000011111000010111001001001110011011010010101011011011110000111100000001101101001100001111011111
Bitvector: 100110010101110010000101001011001001010000010001101110001110001011000101100101001010011000101111101011111111001101000010000100101000001111101
Bitvector: 000100110100
Bitvector: 011110101001101011111110011010000011000101101110100100101010110000100010111000001101
Bitvector: 11001100011001011001110011101101011000000110111010100
Bitvector: 0100101010010011011000111101010000110010001100011110111111011110111010011011000100
Bitvector: 00101111110110001111110010000100101
Bitvector: 10010111100
Bitvector: 0100011011110001110110101
Bitvector: 1101011101001010101100001000000001011100101010111100111110010001101101111000110110001100010001110100000101110111111
Bitvector: 111111011001101000000010101010100101011000001100010011
Bitvector: 00010001110111110000010000101011011101111010111101010100011001011010001001111011001001101000010001111010100111010110000000001001000010011100000100111
Bitvector: 0011000010001011110001100111000101101000100111010111110011100100110100010011100010111011
Bitvector: 1011011111000000010101110110100110110100110100100011011000101101110000100100011101101
Bitvector: 1001101001111001110010000
Bitvector: 01010010111110101000000101011101111101110110110010110000000111001010011101001111101111100100100110101011
Bitvector: 000110010111011111100
Bitvector: 01100000110111100010011100010000000001101110110000111000000110101010011011001001000101100000001101100110101010000010000110111000010100001
Bitvector: 10011101000111101111110010001010010011111111101100110010110100110001000
Bitvector: 1111011001010101100011010111100101001011000100011101110101100011101
Bitvector: 1000010010010
Bitvector: 101010100010101011111111001101011001100100110110111110111011001001111011001100101110111010010111101010111111011110100011001100100
Bitvector: 1010001010000101101000
Bitvector: 10011000111011110010011111111011001101010111110011010110111001110100001110111000111001
Bitvector: 0111111110001101110101110100000011100101001100100000111011011011110
Bitvector: 111110100101011110101011101100001001010110011110110011100001100100000101101111111110
Bitvector: 10101110010010110100100
Bitvector: 01110000111101011100100111011110001100101001000100010101000000110
Bitvector: 000000101111000011000100101101101000010110000010010000101110110100100101110011010100001101100
Bitvector: 0000000100011111101011001101101011001100011010001101100111110111000110011100011011110111100111110000010100010000100110010111001110100001011000100
Bitvector: 01000000110010111110011101110111001100000101101100011111001110110000100100110101111011110110001100001000010000101101011011
Bitvector: 0111010010101101011001110110001000010011101110110110111001010100011000101010110110101000110010110111110
Bitvector: 101011111100001111010010100101010111101
Bitvector: 1101000100011100111101101101010000111100101000010110100011110100011000011101010110111101010011111001011001100100001101111011110101011
Bitvector: 100100101000110110100
Bitvector: 0011110000011000100110110001001100111100101111000
Bitvector: 11101001000011110000011000101111001010100111010111000101101101110001100110010010010000001011111110011100111010100100001000001101000100
Bitvector: 1110000101001001011100010101100100001000111011011010001001111010010011001011100101001101001111101010111110111111100
Bitvector: 001101010101011000001001101110111100
Bitvector: 111101101111101010001011100111000001
Bitvector: 111010111110000101011000101101111010000011110000100011000111101010011011001000001110001011001001000101101001001011011010100011001000000111011110
Bitvector: 1000010001000000000110100001100010001110101100010000010010100000000011001000001011111010010111
Bitvector: 010001011011101110111001101010111111100111111
Bitvector: 01000011101100011111010000011011101101100100011010101001100001
Bitvector: 001001101111001111110001001001101111100011000101011100100101011100101110001000010001100000001100111110000110100001100101011111101000101
Bitvector: 0000001111010011001000011
Bitvector: 001111001100111001010101011111100101000000010011100110100001110011111001101111101100110100111000101111111
Bitvector: 101010100101010100110100101010011100000001011111110110001000011
Bitvector: 111110100011010010101100001010100000100111000
Bitvector: 10011010110001110110000001000100100000110011010110010111101111011001000
Bitvector: 00010001001000011110000010001000111111101001100001101000100011011110111110101100100110101000111101001000
Bitvector: 001101111001011010111001001111001011011011010100100111010010011010111100011001001011011011010010000010100111001000110010000100
Bitvector: 1110010011111100000000100101000111101110110010100011111010010
Bitvector: 0000101101000111011000000011001101110011000101011010001001110011010010110111111011001010101001110110010101110111111000110110
Bitvector: 00011001101101010110101111110001101110011101001001100001010101001110111000010111110101101101011011101001000110000111000000000
Bitvector: 01011000011010001110000111111010100000110111110110101101100000000010100000110001
Bitvector: 01100101100110111111100101111100010111110100111101000000111001000101100010011011010011010110110
Bitvector: 1010111111101010101111101000000100111110010111111010100110101101010110110100110100100010010111000101101110001101111101011001010
Bitvector: 110000000110110001011100100110000001011101000010011001110111001110111100111101101110010000001110110011101101100011011111001010000001010100
Bitvector: 00000001010000010011101101100000100000011001011111001111000111100010111110001011001
Bitvector: 0101110111011110001011011101000010111011
Bitvector: 0100001110010110101101110001100100011000010000101100001100100010100000110101111000010110001011110110000111001110000
Bitvector: 01101111100001110001100110001011101001001001011011001001011110010001010010
Bitvector: 1100001000000111010111000101100101100000001100010011011010101111101000000010101100110110111001110111001011110111
Bitvector: 000100001010010110101
Bitvector: 00011100100000101000
Bitvector: 10010000010111110101011000010000001001011100001010110001
Bitvector: 11111110011010
Bitvector: 1001010100010101010100010101000010011011001100011110100101111100001110011111111001001001101110010001111010001000100100011
Bitvector: 1100010101110010101100001101000011110111000001000010101010111010
Bitvector: 010110000100110011010001100100000101101111000001
Bitvector: 111010010001100000110011100101100110001001011101010111001001
Bitvector: 101001000010011001100111011011000111101110011110110001111011110110100010000101110010001000100000110001011
Bitvector: 101010110101011100111001111111000111111100001111010101100110110011101100011011101101101011011010001011001001110111001000110100110110001010001001
Bitvector: 1111111101010111011101110100010000010010011100010010111000001110101110101000101101000001001111010
Bitvector: 001100011101011011110110100000010010100110101000000001110111010000101100000000000
Bitvector: 111011011101101011011101000000010000001001011110100100010000001100000010100001001110101111100
Bitvector: 10000110100010100010111101101111000001100001010000101011001111010110011001110101
Bitvector: 0101101101101000100111011011001111111000000110110001011110101000011010000111110100010000101100001111110011000000001011101010010000100101001
Bitvector: 110000011000001011110101110010101000101011000100111101101100101010111100000111011001110010010001101001010101010
Bitvector: 0010010100010111100001010010001010101010010001010001000100
Bitvector: 01010110111010110100110001010011110101011011111111010110100011
Bitvector: 11110101110100111111111110101010001111010001001111011101110111000010001110000010101000011001000000110001001010
Bitvector: 01111100011011000101000101001111100101001111111111010101111
Bitvector: 00011000101000010001110000011110000011110001010110000000110010110111111111010100001010101100000100111000100010100111011010
Bitvector: 1000110011111001000101111001001100000
Bitvector: 0001010001110011101010111100011101101100001100100000101001110010010111000111111011011010011
Bitvector: 101111100101010110100000011111000011101001011000111000001011011001111010000000010001
Bitvector: 110111001001001011100011000001001101100100101111100
Bitvector: 0100111101100101111101111100011100100101111001100101100101110111111010010010101100010010000101010100100
Bitvector: 00110001100000110100100000101001001001011010111101001111111101011110100110010010101110
Bitvector: 10101101101100101000010000100
Bitvector: 01100001000011101111001001001001100010101000110010001011110110000110111101100011010101000010001000101110011000000110011010011010100010011111000111100
Bitvector: 111110101101100111010011100110110010111000000111100011111100100000011001
Bitvector: 000000111000100000000100111000101001010101100011101001000111100100010010010111011
Bitvector: 010100001000110100110101110100011010101000100111001111001110000011011011110
Bitvector: 01100101000110011110010101000111000011000101010110011110001011101110111001011
Bitvector: 01100011110110000110101000101100010101001111011111001001010001011000010100011110010110111001011010010000000000110000010001
Bitvector: 11011010110101110110111000101101001100101001110000000001110100111100101101001100001101110101001000111110101000010111001101000110
Bitvector: 01110010011111000001111010100010011000000111100111011011000000000101101110111110010
Bitvector: 11000011110010011000010111011
Bitvector: 10100100001100110
Bitvector: 1111000100000100001101111010101000111101000011110110101100001010001010111010101
Bitvector: 101001010100000011111100001001110000110110111101010100101100111100011110111101100011001000110000001
Bitvector: 000010110101000001100111001011001001111100100011111011011100010110100000011110101001111000001001111110011010
Bitvector: 00100001111100110000111001100000110110001010111110000001000010000001101110011110111100010111101010000
Bitvector: 0101110001001110111110110001100101111110100011101011001010001110110010111110101101
Bitvector: 10010011011110101110010101010
Bitvector: 111000101000100110001111101011011111100000101100011010111110011000101011001000111100011
Bitvector: 1001010001111011000011001011001010101100100101000010101000100011100000110110100010001111111011110
Bitvector: 1000101100100
Bitvector: 010000000001011
Bitvector: 001111011110101110
Bitvector: 0111111101100111101000110010001110011000101000010000001
Bitvector: 100001110111000001011101111100100001110010011110000111111110010000100110101110010101011101101000111110101111011111
Bitvector: 011010011000100111000100100100010000111111011101110101101101111101011001111000110111000100010000101011010111110001101011010111110
Bitvector: 011010011010001111111101100100000110010011011110111101001110010000001110111001010111101101100111001110
Bitvector: 10010010110
Bitvector: 0111010010110111101000101010011011011111110111001111101010110011001101011001100110101110001100011101010
Bitvector: 00001000000101110011101100000110010110011110011
Bitvector: 1010000110111001001100001000100010010001001010000010101110101111110111000110101101
Bitvector: 1011100000000111010110111101100001011001001100000111011011111111001
Bitvector: 01101101111100100
Bitvector: 011010010111100011001001100000000110101100000
Bitvector: 0111110100001000010000101011011001010001101111101101011010
Bitvector: 000010011001010100
Bitvector: 11011011001001000001000010010111101001111100111110001110011110100110110101111100001011000100010101010001111010101
Bitvector: 1001110100011110101100011111111100001100010001000010001010111100110001111000001001011
